Cycle,Direction,Voltage(V),Specific Capacity (mAh/g),Current(A),status,Electrode Type
1,Discharge,0.1643,71.16754149524756,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1646,71.52220173074195,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.164,71.87686196623635,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.164,72.2286849198468,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1636,72.58334515534118,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.163,72.93800539083558,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1621,73.29266562632998,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1627,73.64448857994043,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1615,73.99914881543482,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1609,74.35380905092921,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1609,74.70846928642361,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1605,75.06029224003406,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.159,75.41495247552845,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.159,75.76961271102284,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.159,76.12427294651725,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1587,76.47893318201164,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1587,76.83075613562207,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1584,77.18541637111646,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1578,77.54007660661087,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1571,77.89473684210526,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1568,78.24939707759965,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1565,78.6012200312101,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1565,78.9558802667045,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1556,79.3105405021989,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.155,79.6652007376933,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1537,80.01702369130375,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1534,80.37168392679814,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.154,80.72634416229253,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1531,81.08100439778694,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1528,81.43566463328133,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1522,81.78748758689176,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1519,82.14214782238616,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1515,82.49680805788056,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1506,82.85146829337495,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.15,83.20612852886934,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.15,83.5579514824798,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1488,83.91261171797419,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1488,84.26727195346858,-0.00014967,CCCV DChg,Calendered
1,Discharge,0.1484,84.62193218896297,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1475,84.97375514257342,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1469,85.32841537806782,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1469,85.6830756135622,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1457,86.0377358490566,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1453,86.392396084551,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1444,86.74421903816143,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1444,87.09887927365585,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1441,87.45353950915025,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1432,87.80819974464464,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1426,88.16285998013903,-0.0001498,CCCV DChg,Calendered
1,Discharge,0.1422,88.51468293374948,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1422,88.86934316924388,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1413,89.22400340473827,-0.00014973,CCCV DChg,Calendered
1,Discharge,0.1413,89.57866364023268,-0.00014973,CCCV DChg,Calendered
